iter	Passed	Remaining
663	1860	941
664	1862	938
665	1865	935
666	1867	932
667	1870	929
668	1872	926
669	1875	923
670	1877	920
671	1879	917
672	1882	914
673	1884	911
674	1887	908
675	1889	905
676	1892	902
677	1894	899
678	1897	896
679	1899	893
680	1902	891
681	1904	888
682	1907	885
683	1909	882
684	1912	879
685	1914	876
686	1917	873
687	1919	870
688	1922	867
689	1924	864
690	1927	861
691	1929	858
692	1932	856
693	1935	853
694	1938	850
695	1940	847
696	1943	844
697	1945	841
698	1948	838
699	1950	836
700	1953	833
701	1960	832
702	1963	829
703	1966	826
704	1969	824
705	1972	821
706	1974	818
707	1977	815
708	1980	812
709	1983	810
710	1986	807
711	1988	804
712	1991	801
713	1993	798
714	1996	795
715	1998	792
716	2001	789
717	2003	786
718	2006	784
719	2008	781
720	2011	778
721	2013	775
722	2016	772
723	2018	769
724	2021	766
725	2023	763
726	2025	760
727	2028	757
728	2031	755
729	2033	752
730	2036	749
731	2038	746
732	2041	743
733	2043	740
734	2046	737
735	2048	734
736	2051	731
737	2053	729
738	2055	726
739	2058	723
740	2060	720
741	2063	717
742	2065	714
743	2068	711
744	2070	708
745	2072	705
746	2075	702
747	2078	700
748	2080	697
749	2082	694
750	2085	691
751	2087	688
752	2090	685
753	2092	682
754	2095	679
755	2098	677
756	2100	674
757	2102	671
758	2105	668
759	2107	665
760	2110	662
761	2113	660
762	2115	657
763	2118	654
764	2121	651
765	2123	648
766	2126	646
767	2129	643
768	2131	640
769	2134	637
770	2136	634
771	2142	632
772	2144	629
773	2146	626
774	2149	624
775	2152	621
776	2154	618
777	2157	615
778	2159	612
779	2162	609
780	2164	607
781	2167	604
782	2169	601
783	2172	598
784	2174	595
785	2177	592
786	2179	589
787	2181	587
788	2184	584
789	2186	581
790	2189	578
791	2191	575
792	2194	572
793	2196	569
794	2199	567
795	2201	564
796	2204	561
797	2206	558
798	2209	555
799	2211	552
800	2214	550
801	2217	547
802	2219	544
803	2221	541
804	2224	538
805	2226	535
806	2229	533
807	2231	530
808	2233	527
809	2236	524
810	2238	521
811	2241	518
812	2243	516
813	2246	513
814	2248	510
815	2250	507
816	2253	504
817	2255	501
818	2258	499
819	2260	496
820	2263	493
821	2265	490
822	2268	487
823	2270	485
824	2273	482
825	2275	479
826	2278	476
827	2280	473
828	2283	470
829	2285	468
830	2288	465
831	2291	462
832	2294	459
833	2296	457
834	2300	454
835	2302	451
836	2304	448
837	2307	446
838	2309	443
839	2312	440
840	2314	437
841	2317	434
842	2319	432
843	2322	429
844	2324	426
845	2327	423
846	2330	420
847	2332	418
848	2335	415
849	2337	412
850	2340	409
851	2342	406
852	2344	404
853	2347	401
854	2349	398
855	2352	395
856	2354	392
857	2357	390
858	2359	387
859	2361	384
860	2364	381
861	2366	378
862	2369	376
863	2371	373
864	2373	370
865	2376	367
866	2378	364
867	2381	362
868	2384	359
869	2386	356
870	2389	353
871	2391	351
872	2396	348
873	2399	345
874	2402	343
875	2405	340
876	2408	337
877	2411	335
878	2414	332
879	2416	329
880	2421	327
881	2423	324
882	2426	321
883	2429	318
884	2432	316
885	2435	313
886	2437	310
887	2440	307
888	2443	305
889	2445	302
890	2448	299
891	2451	296
892	2453	294
893	2456	291
894	2458	288
895	2461	285
896	2465	283
897	2467	280
898	2470	277
899	2473	274
900	2476	272
901	2479	269
902	2482	266
903	2485	263
904	2488	261
905	2491	258
906	2493	255
907	2496	252
908	2499	250
909	2501	247
910	2504	244
911	2506	241
912	2509	239
913	2511	236
914	2513	233
915	2516	230
916	2519	228
917	2521	225
918	2523	222
919	2526	219
920	2528	216
921	2531	214
922	2534	211
923	2536	208
924	2539	205
925	2542	203
926	2545	200
927	2547	197
928	2549	194
929	2552	192
930	2555	189
931	2557	186
932	2559	183
933	2562	181
934	2564	178
935	2567	175
936	2569	172
937	2572	170
938	2579	167
939	2582	164
